gobject_id,timestamp_of_delete
6982,00000000000966FE
6983,0000000000096744
6984,0000000000096793
6986,000000000009681D
6987,0000000000096822
6981,0000000000096825
gobject_id,template_definition_id,derived_from_gobject_id,contained_by_gobject_id,area_gobject_id,hosted_by_gobject_id,checked_out_by_user_guid,default_symbol_gobject_id,default_display_gobject_id,checked_in_package_id,checked_out_package_id,deployed_package_id,last_deployed_package_id,tag_name,contained_name,identity_guid,configuration_guid,configuration_version,deployed_version,is_template,is_hidden,software_upgrade_needed,hosting_tree_level,hierarchical_name,namespace_id,deployment_pending_status
61,16,18,0,0,0,,0,0,62,0,0,0,Forklift,,{2DA4D916-64E3-49F9-BFDC-9077000282CA},{787493AC-632E-4840-BB6A-CC85C8CA53E2},9,0,0,0,0,4,Forklift,3,0
62,16,18,0,0,0,,0,0,63,0,0,0,18WheelerTractorTrailer,,{BDAB6B76-BCEA-4A89-8128-9330FD4EBA63},{42CFE44D-8F1A-4565-AB89-0CEF860FB9FE},8,0,0,0,0,4,18WheelerTractorTrailer,3,0
63,16,18,0,0,0,,0,0,64,0,0,0,Bowl,,{4238FDDA-5E0E-4D4B-8FF7-BBE4612C2CEC},{91982463-32E1-4E8E-AFD3-93ABEA04513F},5,0,0,0,0,4,Bowl,3,0
64,16,18,0,0,0,,0,0,65,0,0,0,Thermometer,,{D73F727A-C5B8-48DA-BCD6-AAE9BCEA5C76},{7EB42416-76BE-4CDB-B5CD-9594820DDCC3},6,0,0,0,0,4,Thermometer,3,0
65,16,18,0,0,0,,0,0,66,0,0,0,RadioTower1,,{DAD473F2-C090-4101-9608-74F3AE35F3BC},{B62A2094-6DB9-4493-A509-666A763E1321},7,0,0,0,0,4,RadioTower1,3,0
66,16,18,0,0,0,,0,0,67,0,0,0,Beaker,,{FA899D9B-E077-4C19-BDF7-B5A6500A8A18},{470E3CE1-7966-4ABF-A307-15DA867BFB92},11,0,0,0,0,4,Beaker,3,0
67,16,18,0,0,0,,0,0,68,0,0,0,Crate2,,{4A7A2869-6512-441A-A732-BE4CE923393A},{71B79E13-695C-4474-9312-69224BEAF104},5,0,0,0,0,4,Crate2,3,0
68,16,18,0,0,0,,0,0,69,0,0,0,Crate1,,{B175D0CC-C157-4021-83EA-3EB3A538CF2D},{00E0F5CF-887D-4BC9-A2CE-9E942224C09C},6,0,0,0,0,4,Crate1,3,0
69,16,18,0,0,0,,0,0,70,0,0,0,55GallonBarrelBlue,,{4DC470A6-24E8-46C8-A321-41B205CB3C1B},{2BCEFC63-E257-41ED-BB1A-5CCFC71B91BA},6,0,0,0,0,4,55GallonBarrelBlue,3,0
70,16,18,0,0,0,,0,0,71,0,0,0,CardboardBoxOpen,,{7377E2DF-8A70-49B6-8A64-E76164CA8FD0},{0C1991AE-C008-4315-8914-2F753641B7FD},4,0,0,0,0,4,CardboardBoxOpen,3,0
71,16,18,0,0,0,,0,0,72,0,0,0,CardboardBoxClosed,,{9B831204-BF3E-4536-9944-5265F4B13481},{E90A488D-1DE8-4716-8773-AAD00187A00B},9,0,0,0,0,4,CardboardBoxClosed,3,0
72,16,18,0,0,0,,0,0,73,0,0,0,Modem,,{D3A86547-E7E7-49A7-BE31-F69825295FFE},{CB969B81-DE5F-4A7E-BED0-001EDCCA57E3},5,0,0,0,0,4,Modem,3,0
73,16,18,0,0,0,,0,0,74,0,0,0,Hub_Switch,,{A7F52C6F-5EAD-4D65-897B-931E60E83954},{BD78309D-78AC-48FF-B168-58110F8B73D1},5,0,0,0,0,4,Hub_Switch,3,0
74,16,18,0,0,0,,0,0,75,0,0,0,Monitor,,{F9E5C44F-5588-484F-8F6E-FBE163CC6A9C},{31ABE3A9-AB19-422A-BC8F-FA61D15C6841},9,0,0,0,0,4,Monitor,3,0
75,16,18,0,0,0,,0,0,76,0,0,0,55GallonBarrelGrey,,{CFF37E1A-A0EF-49E7-A318-99C31740E3DA},{EA7CBB22-4706-4826-8983-421186A3D976},7,0,0,0,0,4,55GallonBarrelGrey,3,0
76,16,18,0,0,0,,0,0,77,0,0,0,MonitorAndKeyboard1,,{4774B1D9-EC7F-47D3-BB4F-00EF64260445},{FC681057-12D9-421B-9FCA-B187394C5D28},6,0,0,0,0,4,MonitorAndKeyboard1,3,0
77,16,18,0,0,0,,0,0,78,0,0,0,WonderButton,,{2F50CAD0-A0AE-488C-BD00-DB99AAB0B44D},{57BC5678-FDAD-4C48-836E-F4F991D2A730},10,0,0,0,0,4,WonderButton,3,0
78,16,18,0,0,0,,0,0,79,0,0,0,WinPlatformGroup,,{9722E716-EF81-4A5C-A489-5921B1DB2F51},{111BA0AC-5B55-4BAD-A48B-1E07383E304E},28,0,0,0,0,4,WinPlatformGroup,3,0
79,16,18,0,0,0,,0,0,80,0,0,0,WinPlatformDisplay,,{01CCBDB7-8F68-4F5E-A0E4-B68B754B5831},{C0ED517E-31AB-4429-862B-260A2C429108},285,0,0,0,0,4,WinPlatformDisplay,3,0
80,16,18,0,0,0,,0,0,81,0,0,0,WonderwareLogo,,{A7C3A8ED-74D2-4015-92E4-0718C5CA5C6F},{3DDF8415-68C2-47CE-995F-2F494824FE31},12,0,0,0,0,4,WonderwareLogo,3,0
81,16,18,0,0,0,,0,0,82,0,0,0,PLC,,{D0A2F8AE-C684-4AA8-A23C-B0661F102BAD},{1B60A6EB-8A6B-47CD-AE2B-70842EA131B4},12,0,0,0,0,4,PLC,3,0
82,16,18,0,0,0,,0,0,83,0,0,0,TrashCan,,{A4AA7F19-8BC5-4B6D-AEA3-F8FEA86C8CDB},{D6AA32B4-372A-43B3-BDE1-9110FB4C5AFE},6,0,0,0,0,4,TrashCan,3,0
83,16,18,0,0,0,,0,0,84,0,0,0,Agitator3Blades,,{D2FC5B83-EF9E-496C-88E3-8EF8846C306A},{0B5C3978-49C6-469E-8FE8-9D325F1DF539},10,0,0,0,0,4,Agitator3Blades,3,0
84,16,18,0,0,0,,0,0,85,0,0,0,Flames,,{E800D0D1-216F-495D-BD8C-48141C175F67},{EF6B146A-F89E-445A-8E71-DADFD14B9996},4,0,0,0,0,4,Flames,3,0
